日期,涨跌幅
2024-01-19,-1.72%
2024-01-26,+2.75%
2024-02-02,-6.19%
2024-02-08,+4.97%
2024-02-08,+4.97%
2024-02-23,+4.85%
2024-03-01,+0.74%
2024-03-08,+0.63%
2024-03-08,+0.63%
2024-03-15,+0.28%
2024-03-22,-0.22%
2024-03-29,-0.23%
2024-04-03,+0.92%
2024-04-03,+0.92%
2024-04-12,-1.62%
2024-04-19,+1.52%
2024-04-26,+0.76%
2024-04-26,+0.76%
2024-04-30,+0.52%
2024-05-10,+1.60%
2024-05-17,-0.02%
2024-05-24,-2.07%
2024-05-24,-2.07%
2024-05-31,-0.07%
2024-06-07,-1.15%
2024-06-14,-0.61%
2024-06-14,-0.61%
2024-06-21,-1.14%
2024-06-28,-1.03%
2024-07-05,-0.59%
2024-07-12,+0.72%
2024-07-12,+0.72%
2024-07-19,+0.37%
2024-07-26,-3.07%
2024-08-02,+0.50%
2024-08-02,+0.50%
2024-08-09,-1.49%
2024-08-16,+0.60%
2024-08-23,-0.87%
2024-08-23,-0.87%
2024-08-30,-0.43%
2024-09-06,-2.69%
2024-09-13,-2.23%
2024-09-20,+1.21%
2024-09-20,+1.21%
2024-09-27,+12.81%
2024-09-30,+8.06%
2024-10-11,-3.56%
2024-10-11,-3.56%
2024-10-18,+1.36%
2024-10-25,+1.17%
2024-11-01,-0.84%
2024-11-08,+5.51%
2024-11-08,+5.51%
2024-11-15,-3.52%
2024-11-22,-1.91%
2024-11-29,+1.81%
2024-11-29,+1.81%
2024-12-06,+2.33%
2024-12-13,-0.36%
2024-12-20,-0.70%
2024-12-27,+0.95%
2024-12-27,+0.95%
2025-01-03,-5.55%
2025-01-10,-1.34%
2025-01-17,+2.31%
2025-01-17,+2.31%
2025-01-24,+0.33%
2025-01-27,-0.06%
2025-02-07,+1.63%
2025-02-14,+1.30%
2025-02-14,+1.30%
2025-02-21,+0.97%
2025-02-28,-1.72%
2025-03-07,+1.56%
2025-03-07,+1.56%
2025-03-11,+0.22%
