日期,涨跌幅
2024-01-19,-2.33%
2024-01-26,-0.28%
2024-02-02,-8.06%
2024-02-08,+9.49%
2024-02-08,+9.49%
2024-02-23,+2.82%
2024-03-01,+4.03%
2024-03-08,-0.70%
2024-03-08,-0.70%
2024-03-15,+2.60%
2024-03-22,-0.49%
2024-03-29,-1.72%
2024-04-03,+1.53%
2024-04-03,+1.53%
2024-04-12,-3.32%
2024-04-19,+0.56%
2024-04-26,+1.99%
2024-04-26,+1.99%
2024-04-30,+1.30%
2024-05-10,+1.50%
2024-05-17,-0.22%
2024-05-24,-2.93%
2024-05-24,-2.93%
2024-05-31,-0.64%
2024-06-07,-1.16%
2024-06-14,-0.04%
2024-06-14,-0.04%
2024-06-21,-2.03%
2024-06-28,-2.38%
2024-07-05,-1.73%
2024-07-12,+1.82%
2024-07-12,+1.82%
2024-07-19,+0.56%
2024-07-26,-3.44%
2024-08-02,-0.51%
2024-08-02,-0.51%
2024-08-09,-1.87%
2024-08-16,-0.52%
2024-08-23,-2.01%
2024-08-23,-2.01%
2024-08-30,+2.04%
2024-09-13,-1.81%
2024-09-20,+1.15%
2024-09-20,+1.15%
2024-09-27,+17.83%
2024-09-30,+10.67%
2024-10-11,-4.45%
2024-10-11,-4.45%
2024-10-18,+2.95%
2024-10-25,+2.53%
2024-11-01,-1.55%
2024-11-08,+6.75%
2024-11-08,+6.75%
2024-11-15,-3.70%
2024-11-22,-2.89%
2024-11-29,+1.66%
2024-11-29,+1.66%
2024-12-06,+1.69%
2024-12-13,-0.73%
2024-12-20,-0.62%
2024-12-27,+0.13%
2024-12-27,+0.13%
2025-01-03,-7.16%
2025-01-10,-1.02%
2025-01-17,+3.73%
2025-01-17,+3.73%
2025-01-24,+1.29%
2025-01-27,-1.33%
2025-02-07,+4.13%
2025-02-14,+1.64%
2025-02-14,+1.64%
2025-02-21,+2.25%
2025-02-28,-3.46%
2025-03-07,+2.19%
2025-03-07,+2.19%
2025-03-11,+0.16%
