日期,涨跌幅,情绪总和,情绪计数
2024-01-19,-2.33%,8.538744889905942,12
2024-01-26,-0.28%,12.64650270280437,15
2024-02-02,-8.06%,9.803384649332761,11
2024-02-08,+9.49%,13.813914909084339,15
2024-02-08,+9.49%,13.813914909084339,15
2024-02-23,+2.82%,16.231574280155456,17
2024-03-01,+4.03%,10.841473931192848,15
2024-03-08,-0.70%,12.48654627712189,14
2024-03-08,-0.70%,12.48654627712189,14
2024-03-15,+2.60%,13.395803002983193,15
2024-03-22,-0.49%,14.589207811915637,16
2024-03-29,-1.72%,4.354163587023154,5
2024-04-03,+1.53%,10.040356567423384,11
2024-04-03,+1.53%,10.040356567423384,11
2024-04-12,-3.32%,4.494029406158619,5
2024-04-19,+0.56%,7.02978319611715,8
2024-04-26,+1.99%,10.198865707351366,14
2024-04-26,+1.99%,10.198865707351366,14
2024-04-30,+1.30%,1.8582132044371809,4
2024-05-10,+1.50%,6.391263798476059,7
2024-05-17,-0.22%,7.699032795632682,10
2024-05-24,-2.93%,8.619501607370468,10
2024-05-24,-2.93%,8.619501607370468,10
2024-05-31,-0.64%,4.769815092865759,5
2024-06-07,-1.16%,13.697542273073285,15
2024-06-14,-0.04%,11.957799466166003,15
2024-06-14,-0.04%,11.957799466166003,15
2024-06-21,-2.03%,7.741052841658579,9
2024-06-28,-2.38%,3.3975759363540745,5
2024-07-05,-1.73%,8.372372115704787,10
2024-07-12,+1.82%,8.258720137775388,10
2024-07-12,+1.82%,8.258720137775388,10
2024-07-19,+0.56%,8.26650125167246,10
2024-07-26,-3.44%,11.945231164616985,13
2024-08-02,-0.51%,5.957211464332726,7
2024-08-02,-0.51%,5.957211464332726,7
2024-08-09,-1.87%,11.49369941511997,13
2024-08-16,-0.52%,8.284841701444057,11
2024-08-23,-2.01%,8.816539589234505,11
2024-08-23,-2.01%,8.816539589234505,11
2024-08-30,+2.04%,5.9618303564815855,7
2024-09-13,-1.81%,7.012490953544888,11
2024-09-20,+1.15%,6.797110440409016,8
2024-09-20,+1.15%,6.797110440409016,8
2024-09-27,+17.83%,12.379882220993267,17
2024-09-30,+10.67%,9.639118419615473,11
2024-10-11,-4.45%,21.080906946753107,23
2024-10-11,-4.45%,21.080906946753107,23
2024-10-18,+2.95%,17.05174110891858,19
2024-10-25,+2.53%,10.833059925657604,11
2024-11-01,-1.55%,14.393946810218845,16
2024-11-08,+6.75%,3.9978233598707718,5
2024-11-08,+6.75%,3.9978233598707718,5
2024-11-15,-3.70%,17.74986016060767,19
2024-11-22,-2.89%,10.3498255432246,13
2024-11-29,+1.66%,17.19866378328943,19
2024-11-29,+1.66%,17.19866378328943,19
2024-12-06,+1.69%,11.610147930736007,13
2024-12-13,-0.73%,17.39038357468361,19
2024-12-20,-0.62%,11.360049860562208,12
2024-12-27,+0.13%,11.734681435638043,14
2024-12-27,+0.13%,11.734681435638043,14
2025-01-03,-7.16%,17.37480389471583,20
2025-01-10,-1.02%,11.469835869123472,16
2025-01-17,+3.73%,9.003699121072453,10
2025-01-17,+3.73%,9.003699121072453,10
2025-01-24,+1.29%,14.99241594370189,16
2025-01-27,-1.33%,2.7286326750249,3
2025-02-07,+4.13%,14.09967126977026,15
2025-02-14,+1.64%,12.338985329801618,15
2025-02-14,+1.64%,12.338985329801618,15
2025-02-21,+2.25%,8.499792932745475,12
2025-02-28,-3.46%,9.264798775732675,13
2025-03-07,+2.19%,33.958725087194516,39
2025-03-07,+2.19%,33.958725087194516,39
2025-03-11,+0.16%,16.361002112193795,18
