职位名称,公司名称,薪资范围,工作地点,经验要求,学历要求,职位类型,技能标签,福利待遇
人工智能数据标注处理专员,智沐数字,3k-6k,[济南·章丘区],经验不限 , 不限,人工智能服务 ,软件服务｜咨询人工智能服务无人驾驶计算机,“带薪培训 岗位晋升 可开实习证明”
下一代网络与人工智能科学家/专家,亚信科技,20k-30k,[北京·海淀区],经验不限 , 硕士,软件服务,软件服务｜咨询资深架构师网络专家,“六险一金”
人工智能开发工程师,融勤教育,20k-25k,[东莞·东莞市市辖区],经验3-5年 , 本科,数据服务,软件服务｜咨询PyTorchOpenCV机器学习算法/工程化经验计算机相关专业,“有发展前景，团队氛围好。”
人工智能开发,亚信科技,15k-30k,[北京·海淀区],经验3-5年 , 本科,软件服务,软件服务｜咨询Python,“大模型开发 智能体开发 agent”
人工智能讲师,融勤教育,18k-25k,[东莞·东莞市市辖区],经验3-5年 , 大专,数据服务,软件服务｜咨询教育｜培训,“有良好的发展前景”
人工智能内容大客户经理-国际化音乐,字节跳动,25k-50k,[上海·杨浦区],经验3-5年 , 本科,"内容资讯,短视频 ",运营,"“下午茶,健身瑜伽,六险一金,股票期权”"
大数据和人工智能部项目管理岗(J15261),阳光保险集团,15k-25k,[北京·永顺],经验1-3年 , 硕士,科技金融 ,人工智能服务基础业务产品数据产品中后台产品科技金融,“跟踪人工智能领域和保险领域最新动态”
人工智能算法工程师,华为技术有限公司,18k-35k,[上海·青浦区],经验不限 , 本科,"智能硬件,IT技术服务",人工智能服务计算机相关专业深度学习经验图像｜视频处理Python,“团队大牛多，天才少年等导师团队带入门”
人工智能工程师-航空航天方向,成都云智优企业管理咨询有限公司,40k-50k,[北京·石景山区],经验5-10年 , 博士,专业服务,营销服务｜咨询专业服务｜咨询,"“五险一金,周末双休,专业培训”"
人工智能工程师实习,陕西华码半导体科技有限公司,7k-9k,[西安·雁塔区],经验1-3年 , 本科,"物流平台,物流",物流平台物流｜运输,"“五险一金,专业培训,交通补贴”"
大数据与人工智能学院教师（大数据应用开发方向）,重庆工程学院,7k-10k,[重庆·巴南区],经验3-5年 , 硕士,教育,教育｜培训,"“免费班车,五险一金,绩效奖金”"
人工智能工程师-NIBS生物信息学中心,北京生命科学研究所,7k-10k,[北京·昌平区],经验不限 , 本科,制造业 ,制造业,"“免费班车,五险一金,定期体检”"
人工智能工程师,嘉喆科技（嘉兴）股份有限公司,13k-20k,[嘉兴·海宁市],经验5-10年 , 本科,专业服务,专业服务｜咨询,“发展前景佳、团队实力强、老板nice”
人工智能应用开发工程师,安徽柯恩,10k-15k,[西双版纳·景洪市],经验1-3年 , 本科,金融业 ,金融业,“方案”
人工智能大模型项目经理,长盈精密,15k-25k,[东莞·石排镇],经验3-5年 , 本科,金融业 ,金融业,“方案”
人工智能,江苏苏宁银行股份有限公司,25k-50k,[南京·建邺区],经验3-5年 , 本科,制造业 ,制造业,"“五险一金,绩效奖金,做五休二”"
人工智能工程师,湖北永业行,13k-26k,[武汉·武昌区],经验3-5年 , 本科,制造业 ,制造业,"“五险一金,绩效奖金,定期体检”"
Data&AI specialist/人工智能数据专员,博世力士乐（北京）液压有限公司,15k-25k,[北京·通州区],暂无,暂无,医疗,医疗｜保健｜美容,“发展前景佳、团队实力强、老板nice”
