电影名称,导演,主演,上映时间,评分,剧情,国别
肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994 ,9.7,希望让人自由。,美国
霸王别姬,陈凯歌 Kaige Chen   ,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993 ,9.6,风华绝代。,中国大陆 中国香港
泰坦尼克号,詹姆斯·卡梅隆 James Cameron   ,莱昂纳多·迪卡普里奥 Leonardo...,1997 ,9.5,失去的才是永恒的。 ,美国 墨西哥
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis   ,汤姆·汉克斯 Tom Hanks / ...,1994 ,9.5,一部美国近现代史。,美国
千与千寻,宫崎骏 Hayao Miyazaki   ,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001 ,9.4,最好的宫崎骏，最好的久石让。 ,日本
美丽人生,罗伯托·贝尼尼 Roberto Benigni   ,罗伯托·贝尼尼 Roberto Beni...,1997 ,9.5,最美的谎言。,意大利
这个杀手不太冷,吕克·贝松 Luc Besson   ,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994 ,9.4,怪蜀黍和小萝莉不得不说的故事。,法国 美国
星际穿越,克里斯托弗·诺兰 Christopher Nolan   ,马修·麦康纳 Matthew Mc...,2014 ,9.4,爱是一种力量，让我们超越时空感知它的存在。,美国 英国 加拿大
盗梦空间,克里斯托弗·诺兰 Christopher Nolan   ,莱昂纳多·迪卡普里奥 Le...,2010 ,9.4,诺兰给了我们一场无法盗取的梦。,美国 英国
楚门的世界,彼得·威尔 Peter Weir   ,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998 ,9.4,如果再也不能见到你，祝你早安，午安，晚安。,美国
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg   ,连姆·尼森 Liam Neeson...,1993 ,9.5,拯救一个人，就是拯救整个世界。,美国
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström   ,理查·基尔 Richard Ger...,2009 ,9.4,永远都不能忘记你所爱的人。,美国 英国
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore   ,蒂姆·罗斯 Tim Roth / ...,1998 ,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,意大利
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani   ,阿米尔·汗 Aamir Khan / 卡...,2009 ,9.2,英俊版憨豆，高情商版谢耳朵。,印度
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   ,金妮弗·...,2016 ,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,美国
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier   ,让-巴蒂斯特·莫尼...,2004 ,9.3,天籁一般的童声，是最接近上帝的存在。 ,法国 瑞士 德国
机器人总动员,安德鲁·斯坦顿 Andrew Stanton   ,本·贝尔特 Ben Burtt / 艾丽...,2008 ,9.3,小瓦力，大人生。,美国
