book_name,author,average_rating,publish_date,publish_name,price,store_number,book_photo,detail
三体,刘慈欣,8.9,2008-1,重庆出版社,23.00,10,s2768378.jpg,文化大革命如火如荼进行的同时。军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到，她彻底改变了人类的... 
阿西莫夫科幻短篇全集 1,[美] 艾萨克·阿西莫夫,9.0,2023-12-1,江苏凤凰文艺出版社,119.00元,10,s34706972.jpg,"《阿西莫夫科幻短篇全集》初次完整集结阿西莫夫的所有短篇，计划共分三卷。
本书为第一卷，共收录48篇，包括阿西莫夫广受好评的短篇《最后的问题》和《日暮》。 "
2181序曲,顾适,8.5,2024-7,新星出版社,58.00元,10,s34911093.jpg,"“我有责任去书写我所见到的女性。”
雨果奖提名作家 顾适 幻想小说集
-------------------------------------------... "
平面国,[英] 埃德温·A.艾勃特,9.2,2020-8,上海文化出版社,39.80元,10,s33710398.jpg,"很难简单概括《平面国》这本书。
它可以是：首次解释""维度""概念的科普读物、脑洞大开的科幻小说、煞有介事的数学童话、剑走偏锋的精神启蒙、辛辣讽喻英国维多利亚时... "
如果我们无法以光速前行,[韩] 金草叶,8.5,2022-6,四川科学技术出版社,42.00元,10,s34247243.jpg,"当死亡不再代表永别，人生将如何？
《如果我们无法以光速前行》是金草叶的第一部短篇小说集，也是她写作生涯的耀眼开幕。这部科幻小说集在韩国一共累计了25万册销量... "
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯,9.1,2022-8-1,河南文艺出版社,48.00元,10,s34280647.jpg,"【编辑推荐】
◆豆瓣9.1高分科幻，豆瓣图书Top 250总榜No. 47，豆瓣科幻小说榜Top10，6.6万人评分，10万人想读。Goodreads 4.... "
三体Ⅱ,刘慈欣,9.3,2008-5,重庆出版社,32.00,10,s3078482.jpg,"三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。
面对前所未有的危局，经历过无数磨难的地球人组建起同样... "
三体Ⅲ,刘慈欣,9.2,2010-11,重庆出版社,38.00元,10,s26012674.jpg,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生... 
仿生人会梦见电子羊吗?,[美] 菲利普·迪克,8.7,2024-10-15,江苏凤凰文艺出版社,59.90元,10,s34967133.jpg,"24小时内，赏金猎人德卡德要做出这些抉择：
1.继续留在核战后的地球忍受辐射，还是去往殖民星球开启新生活？
2.要买一只真羊替代屋顶的电子羊吗？拥有一只昂贵... "
挽救计划,[美] 安迪·威尔,9.1,2021-9,译林出版社,68.00,10,s33958826.jpg,"科技宅男+跨星系好（基）友联袂上演太空大救援
硬核工程风+幽默碎碎念打造年度科幻
奥巴马、乔治•R. R. 马丁力荐
高司令主演同名电影即将上映
👾出版后连... "
三体全集,刘慈欣,9.5,2012-1,重庆出版社,168.00元,10,s28357056.jpg,"《地球往事·三体》
文化大革命如火如荼进行的同时，军方探寻外星文明的绝秘计划“红岸工程”取得了突破性进展。但在按下发射键的那一刻，历经劫难的叶文洁没有意识到... "
如果我们将在25岁死去,[日] 砂川雨路,7.2,2024-10,新星出版社,56.00元,10,s34967270.jpg,"如果这个世界是一个巨大的孵化厂
我是我，还是供社会运转的工具？
25岁人均寿命×工作婚姻统一分配×孩子强制上交国家
在“被规定”的幸福里，爱是一种反叛。
*... "
天钧,[美] 厄休拉·勒古恩,8.0,2024-10-15,北京日报出版社,49.9元,10,s34981247.jpg,"【故事简介】
乔治拥有“通过做梦改变现实”的能力，却不能控制梦境。
他恐惧噩梦成真，不敢入睡，几近发狂。
他向精神病医生哈伯求救，哈伯却暗中操纵他的梦境，来... "
永恒的终结,[美] 艾萨克·阿西莫夫,9.1,2014-9,江苏凤凰文艺出版社,32.00元,10,s27409671.jpg,24世纪，人类发明了时间力场。27世纪，人类在掌握时间旅行技术后，成立了一个叫做永恒时空（Eternity）的组织，在每个时代的背后，默默地守护着人类社会的... 
